SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD679000,2,2.0,1027,NA,2005,681,Sold,NA,NA,http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-410/home/10347289,MRIS,DC10034164,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-28-2017,propertytype:Condo/Co-op,USD315000,1,1.0,448,NA,1910,241,Sold,NA,NA,http://www.redfin.com/DC/Washington/2611-Adams-Mill-Rd-NW-20009/unit-307/home/10006713,MRIS,DC10034549,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD345000,2,1.0,750,NA,1925,417,Sold,NA,NA,http://www.redfin.com/DC/Washington/3026-Porter-St-NW-20008/unit-104/home/17393598,MRIS,DC10028191,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-25-2017,propertytype:Condo/Co-op,USD815000,2,2.0,1044,NA,1991,212,Sold,NA,NA,http://www.redfin.com/DC/Washington/1501-Swann-St-NW-20009/unit-B/home/9868152,MRIS,DC10039223,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD515000,1,1.0,880,NA,2006,448,Sold,NA,NA,http://www.redfin.com/DC/Washington/929-Florida-Ave-NW-20001/unit-4001/home/21644110,MRIS,DC10003252,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD365000,1,1.0,445,NA,1900,134,Sold,NA,NA,http://www.redfin.com/DC/Washington/1314-W-St-NW-20009/unit-C/home/10192324,MRIS,DC9984402,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-25-2017,propertytype:Condo/Co-op,USD450000,1,1.0,714,NA,1900,285,Sold,NA,NA,http://www.redfin.com/DC/Washington/2902-Porter-St-NW-20008/unit-51/home/10190691,MRIS,DC10033826,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-11-2017,propertytype:Condo/Co-op,USD597500,1,2.0,852,NA,2006,450,Sold,NA,NA,http://www.redfin.com/DC/Washington/1451-Belmont-St-NW-20009/unit-000305/home/11747756,MRIS,DC9997111,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD366500,0,1.0,552,NA,2003,299,Sold,NA,NA,http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-915/home/21648156,MRIS,DC10022935,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD447000,1,1.0,674,NA,2015,431,Sold,NA,NA,http://www.redfin.com/DC/Washington/460-New-York-Ave-NW-20001/unit-204/home/113744256,MRIS,DC10003819,N,Y,"Tuesday- Sep 12, 2017"
